Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Will Barton,DEN,"SG,SF",985,357,256,39,51,0.43,0.79,124,73,2284,116
Al Horford,PHI,"PF,C",982,534,311,95,58,0.51,0.82,85,74,2242,120
Tyler Herro,MIA,SG,962,229,156,26,56,0.44,0.85,150,78,2028,94
Dejounte Murray,SAS,PG,960,516,307,35,99,0.46,0.72,12,75,2250,165
Fred VanVleet,TOR,PG,952,207,333,22,69,0.42,0.84,154,73,1868,92
Ricky Rubio,PHO,PG,952,302,564,10,116,0.42,0.87,90,75,2282,200
Alex Len,ATL,"PF,C",945,541,99,85,36,0.52,0.7,61,77,1706,99
Kelly Oubre Jr.,PHO,SF,941,352,101,52,89,0.41,0.8,97,80,2055,83
De'Andre Hunter,ATL,SF,939,398,167,33,90,0.49,0.75,105,77,2002,107
Terrence Ross,ORL,"SG,SF",937,228,112,27,64,0.42,0.84,162,73,1733,71
Wendell Carter Jr.,CHI,"C,PF",937,640,132,103,49,0.5,0.77,12,79,2244,123
D.J. Augustin,ORL,PG,936,197,391,0,54,0.46,0.86,135,78,2260,134
Jeff Teague,MIN,PG,931,207,525,26,87,0.43,0.82,78,74,2361,180
Rudy Gay,SAS,"SF,PF",918,414,155,40,56,0.47,0.8,75,72,1663,110
Kent Bazemore,POR,"SG,SF",918,307,200,49,100,0.42,0.75,111,75,2001,142
Nicolas Batum,CHA,"SG,SF",912,374,371,35,70,0.42,0.84,121,74,2343,145
Josh Jackson,MEM,"SG,SF",912,362,158,50,80,0.43,0.64,82,77,2218,147
Justise Winslow,MIA,"PF,PG,SF",911,428,293,31,81,0.43,0.63,93,73,2146,132
Isaiah Thomas,WAS,PG,909,136,301,9,48,0.39,0.85,113,68,1675,154
Spencer Dinwiddie,BKN,"PG,SG",909,183,340,20,46,0.43,0.8,108,75,1744,119
Bobby Portis,NYK,"PF,C",908,487,103,28,43,0.46,0.77,81,73,1705,95
Kevin Huerter,ATL,SG,894,264,224,20,77,0.43,0.77,157,77,1985,119
Derrick White,SAS,"PG,SG",885,293,277,54,77,0.48,0.79,65,75,1950,116
Joe Ingles,UTH,"SG,SF",885,335,357,31,88,0.47,0.72,151,79,2283,155
Marcus Morris,NYK,"SF,PF",880,370,97,20,38,0.43,0.81,110,74,1881,77
Kelly Olynyk,MIA,"PF,C",878,427,179,45,60,0.48,0.8,112,78,1837,130
Joe Harris,BKN,"SG,SF",874,259,142,15,33,0.5,0.81,152,75,1876,99
Bam Adebayo,MIA,"PF,C",869,662,190,87,75,0.54,0.72,0,79,2001,104
Jabari Parker,ATL,"SF,PF",866,363,118,26,44,0.49,0.72,73,72,1685,117
Robert Covington,MIN,"SF,PF",863,342,162,59,118,0.43,0.78,167,77,2189,103
Malik Monk,CHA,SG,857,161,177,22,49,0.39,0.86,149,76,1592,112
Dion Waiters,MIA,"SG,SF ",854,184,217,20,47,0.41,0.62,138,71,1719,114
Jerami Grant,DEN,"SF,PF",849,348,98,99,56,0.49,0.7,72,79,1892,68
Dillon Brooks,MEM,"SG,SF",844,220,110,16,64,0.45,0.75,82,77,1890,107
Jarrett Allen,BKN,"PF,C",837,612,88,114,41,0.6,0.74,8,79,2079,108
Dwight Howard,LAL,"PF,C",836,647,71,83,37,0.59,0.57,0,73,1702,131
Lonzo Ball,NOR,PG,826,437,612,44,123,0.41,0.6,138,71,2299,176
